seed,configuration,ablated,unknown_enabled,sanity_gate_enabled,asymmetric_decay_enabled,persistence_required,convergence_threshold,run_log,records
42,allon,none,True,True,True,True,0.3,results/ablation/allon_t030_42.jsonl,2889
123,allon,none,True,True,True,True,0.3,results/ablation/allon_t030_123.jsonl,2889
456,allon,none,True,True,True,True,0.3,results/ablation/allon_t030_456.jsonl,2889
789,allon,none,True,True,True,True,0.3,results/ablation/allon_t030_789.jsonl,2889
1024,allon,none,True,True,True,True,0.3,results/ablation/allon_t030_1024.jsonl,2889
42,allon,none,True,True,True,True,0.5,results/ablation/allon_t050_42.jsonl,2889
123,allon,none,True,True,True,True,0.5,results/ablation/allon_t050_123.jsonl,2889
456,allon,none,True,True,True,True,0.5,results/ablation/allon_t050_456.jsonl,2889
789,allon,none,True,True,True,True,0.5,results/ablation/allon_t050_789.jsonl,2889
1024,allon,none,True,True,True,True,0.5,results/ablation/allon_t050_1024.jsonl,2889
42,allon,none,True,True,True,True,0.8,results/ablation/allon_t080_42.jsonl,2889
123,allon,none,True,True,True,True,0.8,results/ablation/allon_t080_123.jsonl,2889
456,allon,none,True,True,True,True,0.8,results/ablation/allon_t080_456.jsonl,2889
789,allon,none,True,True,True,True,0.8,results/ablation/allon_t080_789.jsonl,2889
1024,allon,none,True,True,True,True,0.8,results/ablation/allon_t080_1024.jsonl,2889
42,A,A,True,True,False,True,0.3,results/ablation/A_t030_42.jsonl,2889
123,A,A,True,True,False,True,0.3,results/ablation/A_t030_123.jsonl,2889
456,A,A,True,True,False,True,0.3,results/ablation/A_t030_456.jsonl,2889
789,A,A,True,True,False,True,0.3,results/ablation/A_t030_789.jsonl,2889
1024,A,A,True,True,False,True,0.3,results/ablation/A_t030_1024.jsonl,2889
42,A,A,True,True,False,True,0.5,results/ablation/A_t050_42.jsonl,2889
123,A,A,True,True,False,True,0.5,results/ablation/A_t050_123.jsonl,2889
456,A,A,True,True,False,True,0.5,results/ablation/A_t050_456.jsonl,2889
789,A,A,True,True,False,True,0.5,results/ablation/A_t050_789.jsonl,2889
1024,A,A,True,True,False,True,0.5,results/ablation/A_t050_1024.jsonl,2889
42,A,A,True,True,False,True,0.8,results/ablation/A_t080_42.jsonl,2889
123,A,A,True,True,False,True,0.8,results/ablation/A_t080_123.jsonl,2889
456,A,A,True,True,False,True,0.8,results/ablation/A_t080_456.jsonl,2889
789,A,A,True,True,False,True,0.8,results/ablation/A_t080_789.jsonl,2889
1024,A,A,True,True,False,True,0.8,results/ablation/A_t080_1024.jsonl,2889
42,AP,AP,True,True,False,False,0.3,results/ablation/AP_t030_42.jsonl,2558
123,AP,AP,True,True,False,False,0.3,results/ablation/AP_t030_123.jsonl,2578
456,AP,AP,True,True,False,False,0.3,results/ablation/AP_t030_456.jsonl,2552
789,AP,AP,True,True,False,False,0.3,results/ablation/AP_t030_789.jsonl,2575
1024,AP,AP,True,True,False,False,0.3,results/ablation/AP_t030_1024.jsonl,2564
42,AP,AP,True,True,False,False,0.5,results/ablation/AP_t050_42.jsonl,2889
123,AP,AP,True,True,False,False,0.5,results/ablation/AP_t050_123.jsonl,2889
456,AP,AP,True,True,False,False,0.5,results/ablation/AP_t050_456.jsonl,2889
789,AP,AP,True,True,False,False,0.5,results/ablation/AP_t050_789.jsonl,2889
1024,AP,AP,True,True,False,False,0.5,results/ablation/AP_t050_1024.jsonl,2889
42,AP,AP,True,True,False,False,0.8,results/ablation/AP_t080_42.jsonl,2889
123,AP,AP,True,True,False,False,0.8,results/ablation/AP_t080_123.jsonl,2889
456,AP,AP,True,True,False,False,0.8,results/ablation/AP_t080_456.jsonl,2889
789,AP,AP,True,True,False,False,0.8,results/ablation/AP_t080_789.jsonl,2889
1024,AP,AP,True,True,False,False,0.8,results/ablation/AP_t080_1024.jsonl,2889
42,P,P,True,True,True,False,0.3,results/ablation/P_t030_42.jsonl,2558
123,P,P,True,True,True,False,0.3,results/ablation/P_t030_123.jsonl,2578
456,P,P,True,True,True,False,0.3,results/ablation/P_t030_456.jsonl,2552
789,P,P,True,True,True,False,0.3,results/ablation/P_t030_789.jsonl,2575
1024,P,P,True,True,True,False,0.3,results/ablation/P_t030_1024.jsonl,2564
42,P,P,True,True,True,False,0.5,results/ablation/P_t050_42.jsonl,2889
123,P,P,True,True,True,False,0.5,results/ablation/P_t050_123.jsonl,2889
456,P,P,True,True,True,False,0.5,results/ablation/P_t050_456.jsonl,2889
789,P,P,True,True,True,False,0.5,results/ablation/P_t050_789.jsonl,2889
1024,P,P,True,True,True,False,0.5,results/ablation/P_t050_1024.jsonl,2889
42,P,P,True,True,True,False,0.8,results/ablation/P_t080_42.jsonl,2889
123,P,P,True,True,True,False,0.8,results/ablation/P_t080_123.jsonl,2889
456,P,P,True,True,True,False,0.8,results/ablation/P_t080_456.jsonl,2889
789,P,P,True,True,True,False,0.8,results/ablation/P_t080_789.jsonl,2889
1024,P,P,True,True,True,False,0.8,results/ablation/P_t080_1024.jsonl,2889
42,S,S,True,False,True,True,0.3,results/ablation/S_t030_42.jsonl,2889
123,S,S,True,False,True,True,0.3,results/ablation/S_t030_123.jsonl,2889
456,S,S,True,False,True,True,0.3,results/ablation/S_t030_456.jsonl,2889
789,S,S,True,False,True,True,0.3,results/ablation/S_t030_789.jsonl,2889
1024,S,S,True,False,True,True,0.3,results/ablation/S_t030_1024.jsonl,2889
42,S,S,True,False,True,True,0.5,results/ablation/S_t050_42.jsonl,2889
123,S,S,True,False,True,True,0.5,results/ablation/S_t050_123.jsonl,2889
456,S,S,True,False,True,True,0.5,results/ablation/S_t050_456.jsonl,2889
789,S,S,True,False,True,True,0.5,results/ablation/S_t050_789.jsonl,2889
1024,S,S,True,False,True,True,0.5,results/ablation/S_t050_1024.jsonl,2889
42,S,S,True,False,True,True,0.8,results/ablation/S_t080_42.jsonl,2889
123,S,S,True,False,True,True,0.8,results/ablation/S_t080_123.jsonl,2889
456,S,S,True,False,True,True,0.8,results/ablation/S_t080_456.jsonl,2889
789,S,S,True,False,True,True,0.8,results/ablation/S_t080_789.jsonl,2889
1024,S,S,True,False,True,True,0.8,results/ablation/S_t080_1024.jsonl,2889
42,SA,SA,True,False,False,True,0.3,results/ablation/SA_t030_42.jsonl,2889
123,SA,SA,True,False,False,True,0.3,results/ablation/SA_t030_123.jsonl,2889
456,SA,SA,True,False,False,True,0.3,results/ablation/SA_t030_456.jsonl,2889
